fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-01-01,1984.03,2151.97,1316.19,53.97,1.03,True,36.97,9.03,6.97,True,4.19,1.81,True
2022-01-02,1983.34,2151.65,1315.69,53.65,1.35,True,36.65,8.34,7.66,True,3.69,2.31,True
2022-01-03,1983.23,2151.06,1315.81,53.06,1.94,True,36.06,8.23,7.77,True,3.81,2.19,True
2022-01-04,1983.23,2150.16,1315.75,52.16,2.84,True,35.16,8.23,7.77,True,3.75,2.25,True
2022-01-05,1983.21,2149.23,1315.93,51.23,3.77,True,34.23,8.21,7.79,True,3.93,2.07,True
2022-01-06,1983.43,2148.32,1315.98,50.32,4.68,True,33.32,8.43,7.57,True,3.98,2.02,True
2022-01-07,1984.2,2147.36,1315.9,49.36,5.64,True,32.36,9.2,6.8,True,3.9,2.1,True
2022-01-08,1982.79,2146.51,1316.15,48.51,6.49,True,31.51,7.79,8.21,True,4.15,1.85,True
2022-01-09,1982.17,2145.45,1315.73,47.45,7.55,True,30.45,7.17,8.83,True,3.73,2.27,True
2022-01-10,1982.15,2144.28,1315.87,46.28,8.72,True,29.28,7.15,8.85,True,3.87,2.13,True
2022-01-11,1980.92,2143.55,1315.97,45.55,9.45,True,28.55,5.92,10.08,True,3.97,2.03,True
2022-01-12,1980.35,2143.13,1316.18,45.13,9.87,True,28.13,5.35,10.65,True,4.18,1.82,True
2022-01-13,1981.15,2142.38,1315.58,44.38,10.62,True,27.38,6.15,9.85,True,3.58,2.42,True
2022-01-14,1983.77,2141.56,1315.85,43.56,11.44,True,26.56,8.77,7.23,True,3.85,2.15,True
2022-01-15,1985.19,2140.98,1315.2,42.98,12.02,True,25.98,10.19,5.81,True,3.2,2.8,True
2022-01-16,1985.65,2140.91,1315.85,42.91,12.09,True,25.91,10.65,5.35,True,3.85,2.15,True
2022-01-17,1984.58,2140.48,1315.29,42.48,12.52,True,25.48,9.58,6.42,True,3.29,2.71,True
2022-01-18,1984.24,2139.81,1315.0,41.81,13.19,True,24.81,9.24,6.76,True,3.0,3.0,True
2022-01-19,1983.6,2139.38,1315.85,41.38,13.62,True,24.38,8.6,7.4,True,3.85,2.15,True
2022-01-20,1983.23,2138.93,1315.93,40.93,14.07,True,23.93,8.23,7.77,True,3.93,2.07,True
2022-01-21,1982.32,2138.66,1315.81,40.66,14.34,True,23.66,7.32,8.68,True,3.81,2.19,True
2022-01-22,1982.41,2138.43,1315.75,40.43,14.57,True,23.43,7.41,8.59,True,3.75,2.25,True
2022-01-23,1982.97,2138.08,1315.8,40.08,14.92,True,23.08,7.97,8.03,True,3.8,2.2,True
2022-01-24,1983.24,2137.4,1315.78,39.4,15.6,True,22.4,8.24,7.76,True,3.78,2.22,True
2022-01-25,1981.64,2137.33,1316.22,39.33,15.67,True,22.33,6.64,9.36,True,4.22,1.78,True
2022-01-26,1980.74,2137.42,1315.35,39.42,15.58,True,22.42,5.74,10.26,True,3.35,2.65,True
2022-01-27,1981.18,2137.25,1314.82,39.25,15.75,True,22.25,6.18,9.82,True,2.82,3.18,True
2022-01-28,1981.81,2137.02,1314.83,39.02,15.98,True,22.02,6.81,9.19,True,2.83,3.17,True
2022-01-29,1981.9,2137.13,1315.51,39.13,15.87,True,22.13,6.9,9.1,True,3.51,2.49,True
2022-01-30,1982.7,2136.78,1315.76,38.78,16.22,True,21.78,7.7,8.3,True,3.76,2.24,True
2022-01-31,,,,,,False,,,,False,,,False
2022-02-01,1983.04,2136.12,1315.57,38.12,16.88,True,21.12,8.04,7.96,True,3.57,2.43,True
2022-02-02,1982.86,2135.75,1315.66,37.75,17.25,True,20.75,7.86,8.14,True,3.66,2.34,True
